work_id,mp_id,mp_name,state,constituency,district,house,year,category,fund_received_cr,sanctioned_amount_cr,final_expenditure_cr,sanction_date,status,completion_date,implementing_agency,sc_st_area,data_source,utilization_pct
REAL-65,MP0064,Shri. Rambhai Harjibhai Mokariya,Gujarat,Rajkot,Rajkot,Parliamentary Member,2025,All recommended works,2.0,0.35,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-66,MP0065,Shri. Amin Narhari,Gujarat,Ahmedabad,Ahmedabad,Parliamentary Member,2025,All recommended works,2.0,2.69,1.57,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,78.5
REAL-67,MP0066,Rathwa Naranbhai Jemlabhai,Gujarat,Chhota Udaipur,Chhota Udaipur,Parliamentary Member,2025,All recommended works,14.5,22.32,13.87,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,95.7
REAL-68,MP0067,Sh. Ahmed Patel,Gujarat,Bharuch,Bharuch,Parliamentary Member,2025,All recommended works,12.5,18.6,11.07,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,88.6
REAL-69,MP0068,Ramilaben Bara,Gujarat,Sabarkantha,Sabarkantha,Parliamentary Member,2025,All recommended works,2.0,3.45,0.85,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,42.5
REAL-70,MP0069,Shri. S. Jaishankar,Gujarat,Narmada,Narmada,Parliamentary Member,2025,All recommended works,4.5,6.47,3.38,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,75.1
REAL-71,MP0070,Parshottam Rupala,Gujarat,Amreli,Amreli,Parliamentary Member,2025,All recommended works,12.0,21.37,11.16,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,93.0
REAL-72,MP0071,Amee Yajnik Harshadray,Gujarat,Ahmedabad,Ahmedabad,Parliamentary Member,2025,All recommended works,12.0,12.15,8.18,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,68.2
REAL-73,MP0072,Shri. Shaktisinh Gohil,Gujarat,Ahmedabad,Ahmedabad,Parliamentary Member,2025,All recommended works,2.0,4.12,1.32,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,66.0
REAL-74,MP0073,Mansukh Madaviya,Gujarat,Bhavnagar,Bhavnagar,Parliamentary Member,2025,All recommended works,10.0,16.07,10.97,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,109.7
