mp_id,mp_name,state,constituency,district,house,entitlement_cr,goi_release_cr,unreleased_cr,tenure,nodal_district,data_source
MP0045,Shri. Vivek Thakur,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0046,Shri. Prem Chand Gupta,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0047,Sh. Gopal Narayan Singh,Bihar,Rohtas,Rohtas,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0048,Ahmad Ashfaque Karim,Bihar,Katihar,Katihar,Parliamentary Member,22.0,7.5,14.5,03.04.2018 to 02.04.2024,Katihar,RS_Session_259_AU_2235_1.csv
MP0049,Aneel Prasad Hegde,Bihar,Patna,Patna,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0050,Saroj Pandey,Chhattisgarh,Durg,Durg,Parliamentary Member,22.0,5.0,17.0,03.04.2018 to 02.04.2024,Durg,RS_Session_259_AU_2235_1.csv
MP0051,Sh. Ram Vichar Netam,Chhattisgarh,Balrampur,Balrampur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0052,Chhaya Verma,Chhattisgarh,Raipur,Raipur,Parliamentary Member,22.0,22.0,0.0,30.06.2016 to 29.06.2022,Raipur,RS_Session_259_AU_2235_1.csv
MP0053,Shri. K.t.s Tulsi,Chhattisgarh,Bilaspur,Bilaspur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0054,Rajeev Shukla,Chhattisgarh,Raipur,Raipur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0055,Ranjeet Ranjan,Chhattisgarh,Dhamtari,Dhamtari,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0056,Phulo Devi Netam,Chhattisgarh,Kondagaon,Kondagaon,Parliamentary Member,22.0,2.0,20.0,10.04.2020 to 09.04.2026,Kondagaon,RS_Session_259_AU_2235_1.csv
MP0057,Narain Das Gupta,Delhi,Commissioner South Delhi Municipal Corporation,Commissioner South DMC,Parliamentary Member,22.0,12.0,10.0,28.01.2018 to 27.01.2024,Commissioner South DMC,RS_Session_259_AU_2235_1.csv
MP0058,Sushil Gupta,Delhi,Commissioner North Delhi Municipal Corporation,Commissioner North DMC,Parliamentary Member,22.0,5.0,17.0,28.01.2018 to 27.01.2024,Commissioner North DMC,RS_Session_259_AU_2235_1.csv
MP0059,Shri. Sanjay Singh,Delhi,Commissioner South Delhi Municipal Corporation,Commissioner South Delhi Municipal Corporation,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0060,Vinay P. Tendulkar,Goa,South Goa,South Goa,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0061,Shri. Dineshchandra Jemalbhai Anavadiya,Gujarat,Banaskantha,Banaskantha,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0062,Shri. Jugalsinh Mathurji Lokhandwala,Gujarat,Mahesana,Mahesana,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0063,Shri. Abhay Ganpatray Bhardwaj,Gujarat,nan,nan,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0064,Shri. Rambhai Harjibhai Mokariya,Gujarat,Rajkot,Rajkot,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0065,Shri. Amin Narhari,Gujarat,Ahmedabad,Ahmedabad,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0066,Rathwa Naranbhai Jemlabhai,Gujarat,Chhota Udaipur,Chhota Udaipur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0067,Sh. Ahmed Patel,Gujarat,Bharuch,Bharuch,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0068,Ramilaben Bara,Gujarat,Sabarkantha,Sabarkantha,Parliamentary Member,17.0,2.0,15.0,22.06.2020 to 21.06.2026,Sabarkantha,RS_Session_259_AU_2235_1.csv
MP0069,Shri. S. Jaishankar,Gujarat,Narmada,Narmada,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0070,Parshottam Rupala,Gujarat,Amreli,Amreli,Parliamentary Member,22.0,10.0,12.0,03..4.2018 to 02.04.2024,Amreli,RS_Session_259_AU_2235_1.csv
MP0071,Amee Yajnik Harshadray,Gujarat,Ahmedabad,Ahmedabad,Parliamentary Member,22.0,10.0,12.0,03.04.2018 to 02.04.2024,Ahmedabad,RS_Session_259_AU_2235_1.csv
MP0072,Shri. Shaktisinh Gohil,Gujarat,Ahmedabad,Ahmedabad,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0073,Mansukh Madaviya,Gujarat,Bhavnagar,Bhavnagar,Parliamentary Member,22.0,7.5,14.5,03..4.2018 to 02.04.2024,Bhavnagar,RS_Session_259_AU_2235_1.csv
MP0074,Shri. Ram Chander Jangra,Haryana,Rohtak,Rohtak,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0075,Krishan Lal Panwar,Haryana,Panipat,Panipat,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0076,Kartik Sharma,Haryana,Ambala,Ambala,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0077,Shri. Deepender Singh,Haryana,Rohtak,Rohtak,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0078,Shri. Dushyant Gautam,Haryana,Panipat,Panipat,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0079,Subhash Chandra,Haryana,Hissar,Hisar,Parliamentary Member,22.0,15.0,7.0,02.08.2016 to 01.08.2022,Hisar,RS_Session_259_AU_2235_1.csv
MP0080,Devender Paul Vats,Haryana,Hissar,Hissar,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0081,Indu Bala Goswami,Himachal Pradesh,Kangra,Kangra,Parliamentary Member,22.0,2.0,20.0,10.04.2020 to 09.04.2026,Kangra,RS_Session_259_AU_2235_1.csv
MP0082,Anand Sharma,Himachal Pradesh,Shimla,Shimla,Parliamentary Member,22.0,12.5,9.5,03.04.2016 to 02.04.2022,Shimla,RS_Session_259_AU_2235_1.csv
MP0083,Jagat Prakash Nadda,Himachal Pradesh,Bilaspur,Bilaspur,Parliamentary Member,22.0,10.0,12.0,03.04.2018 to 02.04.2024,Bilaspur,RS_Session_259_AU_2235_1.csv
MP0084,Sikander Kumar,Himachal Pradesh,Shimla,Shimla,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0085,Mir Mohammad Fayaz,Jammu and Kashmir,Kupwara,Kupwara,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0086,Ghulam Nabi Azad,Jammu and Kashmir,Doda,Doda,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0087,Nazir Ahmed Laway,Jammu and Kashmir,Kulgam,Kulgam,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
