S.No,Name of MP (Shri/Smt/Dr./Ms/Prof./Adv.),State,Nodal District,Tenure of MP,Entitlement till his tenure,GOI Release (in Cr),Unreleased Amount (in Cr)
83,John Brittas,Kerala,Thiruvananthapuram,24.04.2021 to 23.04.2027,27,2,25
84,Jose K. Mani,Kerala,Kottayam,30.11.2021 to 01.07.2024,27,2,25
85,K. Somaprasad,Kerala,Kollam,03.04.2016 to 02.04.2022,22,15,7
86,M.V.Shreyams Kumar,Kerala,Wayanad,25.08.2020 to 02.04.2022,2,2,0
87,Elamaram Kareem,Kerala,Kozhikode,02.07.2018 to 01.07.2024,22,20,2
88,Sumer Singh Solanki,Madhya Pradesh,Badwani,22.06.2020 to 21.06.2026,22,2,20
89,Rajmani Patel,Madhya Pradesh,Rewa,03.04.2018 to 02.04.2024,22,10,12
90,Vivek K. Tankha,Madhya Pradesh,Jabalpur,30.06.2016 to 29.06.2022,22,17.5,4.5
91,Ajay Pratap Singh,Madhya Pradesh,Singrauli,03.04.2018 to 02.04.2024,22,12,10
92,Dharmendra Pradhan,Madhya Pradesh,Sehore,03.04.2018 to 02.04.2024,22,5,17
93,Jyotiraditya M. Scindia,Madhya Pradesh,Ashok Nagar,22.06.2020 to 21.06.2026,22,2,20
94,Kailash Soni,Madhya Pradesh,Narsinghpur,03.04.2018 to 02.04.2024,22,10,12
95,M.J. Akbar,Madhya Pradesh,Bhopal,30.06.2016 to 29.06.2022,22,17.5,4.5
96,Sampatiya Uikey,Madhya Pradesh,Mandla,01.08.2017 to 29.06.2022,29.5,29.5,0
97,Digvijay Singh,Madhya Pradesh,Bhopal,22.06.2020 to 21.06.2026,22,2,20
98,L. Murugan,Madhya Pradesh,Chhindwara,27.09.2021 to 02.04.2024,12,2,10
99,Bhgawat Kishanrao Karad,Maharashtra,Aurangabad,03.04.2020 to 02.04.2026,17,2,15
100,Fauzia Tahseen Ahmed Khan,Maharashtra,Parbhani,03.04.2020 to 02.04.2026,17,2,15
101,Vikas Mahatme,Maharashtra,Nagpur,05.07.2016 to 04.07.2022,22.13,12.63,9.5
102,Narayan Rane,Maharashtra,Sindhudurg,03.04.2018 to 02.04.2024,22,7.5,14.5
103,Piyush Goyal,Maharashtra,Mumbai City,05.07.2016 to 04.07.2022,22.13,5.13,17
104,Praful Patel,Maharashtra,Gondia,05.07.2016 to 04.07.2022,22.13,15.13,7
105,Sanjay Raut,Maharashtra,Mumbai Suburban,05.07.2016 to 04.07.2022,22.13,10.13,12
106,P. Chidambaram,Maharashtra,Mumbai City,05.07.2016 to 04.07.2022,22.13,10.13,12
107,Anil Desai,Maharashtra,Mumbai City,03.04.2018 to 02.04.2024,22,5,17
108,CHH. Udayanraje Bhonsle,Maharashtra,Satara,03.04.2020 to 02.04.2026,17,2,15
109,Ketkar Keshav Chintaman,Maharashtra,Thane,03.04.2018 to 02.04.2024,22,10,12
110,Prakash Javadekar,Maharashtra,Pune,03.04.2018 to 02.04.2024,22,5,17
111,Ramdas Athawale,Maharashtra,Mumbai Suburban,03.04.2020 to 02.04.2026,17,2,15
112,Sharad Pawar,Maharashtra,Pune,03.04.2020 to 02.04.2026,17,2,15
113,V. Muraleedharan,Maharashtra,Mumbai Suburban,03.04.2018 to 02.04.2024,22,7.5,14.5
114,Vinay P. Sahasrabuddhe,Maharashtra,Thane,05.07.2016 to 04.07.2022,22.13,7.63,14.5
115,Priyanka Vickram Chaturvedi,Maharashtra,Mumbai Suburban,03.04.2020 to 02.04.2026,17,2,15
116,Vandana Chavan,Maharashtra,Pune,03.04.2018 to 02.04.2024,22,10,12
117,Rajani Ashokrao Patil,Maharashtra,Beed,27.09.2021 to 02.04.2026,17,0,17
118,Maharaja Sanajaoba Leishemba,Manipur,Imphal East,22.06.2020 to 21.06.2026,22,2,20
119,Wanweiroy Kharlukhi,Meghalaya,East Khasi Hills,22.06.2020 to 21.06.2027,22,0,22
120,K. Vanlalvena,Mizoram,Aizawal,20.07.2020 to 19.07.2026,22,2,20
121,K.G. Kenye,Nagaland,Kohima,03.04.2016 to 02.04.2022,24,22,2
122,Amar Patnaik,Odisha,Sundargarh,29.06.2019 to 03.04.2024,17,7,10
