Sl. No.,State/UT,MP Name,District,Fund Received Goi (Rs. Crore),Works Recommended Cost (Rs. Crore),Actual Expenditure Incurred with Exp_Admin (Rs. Crore)
152,Maharashtra,Narayan Rane,Sindhudurg,7.5,15.15,6.59
153,Maharashtra,Shri Dhananjay Bhimrao Mahadik,Kolhapur,2.5,0.75,0.05
154,Maharashtra,Ketkar Keshav Chintaman,Thane,12,13.7,10.91
155,Maharashtra,Shri. Sharad Pawar,Pune,2,0,0
156,Maharashtra,Shrimant Udayanraje Pratapsinghmaharaj Bhonsle,Satara,2,2.75,0.87
157,Maharashtra,Dr Vikas Mahatme,Nagpur,15.13,21.18,15.77
158,Maharashtra,Shri. Vinay P. Sahasrabuddhe,Thane,15.13,25.72,16.28
159,Maharashtra,Shri Sanjay Raut,Mumbai Suburban,2.5,0,0
160,Maharashtra,Dr Bhgawat Kishanrao Karad,Aurangabad,4.5,5.46,3.11
161,Maharashtra,Shri P. Chidambaram,Mumbai City,12.63,14.74,11.18
162,Maharashtra,Smt Priyanka Vickram Chaturvedi,Mumbai Suburban,2,0.1,0.04
163,Maharashtra,Shri. Rajeev Satav,Hingoli,0,0,0
164,Maharashtra,Smt Rajani Ashokrao Patil,Beed,2,0,0
165,Maharashtra,Anil Desai,Mumbai City,7.5,15.45,5.89
166,Maharashtra,Sh. Piyush Goyal,Mumbai City,7.63,21.32,8.69
167,Maharashtra,Sh. Sanjay Raut,Mumbai Suburban,10.13,17.68,12.54
168,Maharashtra,Vandana Chavan,Pune,10,9.36,6.35
169,Maharashtra,Dr Anil Sukhdeorao Bonde,Amravati,2.5,0,0
170,Maharashtra,Shri Piyush Goyal,Mumbai City,2.5,0,0
171,Maharashtra,Dr Fauzia Tahseen Ahmed Khan,Parbhani,4.5,4.42,1.72
172,Maharashtra,Shri. Ramdas Athawale,Mumbai Suburban,2,7.85,2.5
173,Maharashtra,V. Muraleedharan,Mumbai Suburban,7.5,9.74,5.18
174,Manipur,Shri. Maharaja Sanajaoba Leishemba,Imphal East,4.5,1.96,1.7
175,Meghalaya,Shri. Wanweiroy Kharlukhi,East Khasi Hills,4.5,1.96,1.8
176,Mizoram,Shri. K. Vanlalvena,Aizawl,4.5,4.41,3.94
177,Mizoram,Ronald Sapa Tlau,Aizawl,27.5,27.5,27.98
178,Nagaland,Sh. K.G Kenye,Kohima,22,20,20
179,Nagaland,Smt S.phangnon Konyak,Mon,5,4.9,3.9
180,Odisha,Shri. Amar Patnaik,Sambalpur,9.5,10.17,7.09
181,Odisha,Shri Niranjan Bishi,Bolangir,2.5,0,0
182,Odisha,Prashanta Nanda,Sundargarh,14.5,15.74,11.54
183,Odisha,Shri. Prasanna Acharya,Baragarh,22,22.43,17.91
184,Odisha,Shri. Bhaskar Rao Nekkanti,Rayagada,22,26.95,18.73
